Hong Kong Exchanges and Clearing Limited, ORG
The Stock Exchange of Hong Kong Limited, ORG
Cayman Islands, LOC
China Energy Development Holdings Limited (the Company), ORG
Rules Governing the Listing of Securities (the Listing Rules), ORG
The Stock Exchange, ORG
Hong Kong Limited (the Stock Exchange)., ORG
(the Audit Committee), ORG
(the Board), ORG
BDO Limited (BDO), ORG
Companys, ORG
Audit Committee,, ORG
Board, ORG
ZHONGHUI ANDA CPA Limited (ZHONGHUI ANDA), ORG
Company, ORG
BDO, ORG
Board, ORG
Audit Committee, ORG
Company, ORG
(the Group), ORG
BDO, ORG
Group, ORG
AGM, ORG
Company (the Shareholders), ORG
AGM, ZHONGHUI ANDA, ORG
Groups, ORG
Board, ORG
Audit Committee, ORG
BDO, ORG
BDO, ORG
Board, ORG
Audit Committee, ORG
CThe Board, ORG
BDO, ORG
Board China Energy Development Holdings Limited Zhao Guoqiang, ORG
Hong Kong,, PER
Board, ORG
Zhao Guoqiang, PER
Gu Quan Rong), PER
Gu Quan Rong, PER
Zong Ketao,, PER
Cheng Chun Ying, PER
Lee Man Tai, PER
